Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
0,55,18,117,2022,8,9,14,15,16
0.014674,66,116,18,2022,8,9,14,15,16
0,75,82,69,2022,8,9,14,15,16
0.04809,86,65,83,2022,8,9,14,15,16
0,55,18,1,2022,8,9,14,15,18
0.053148,66,2,18,2022,8,9,14,15,18
0,75,82,63,2022,8,9,14,15,21
0.051756,86,59,83,2022,8,9,14,15,21
0,75,82,64,2022,8,9,14,15,22
0.050298,86,60,83,2022,8,9,14,15,22
0,75,82,57,2022,8,9,14,15,25
0.015461,86,53,83,2022,8,9,14,15,25
0,75,82,54,2022,8,9,14,15,26
0.018712,86,50,83,2022,8,9,14,15,26
0,75,82,53,2022,8,9,14,15,26
0.012052,86,49,83,2022,8,9,14,15,26
0,55,18,95,2022,8,9,14,15,27
0.217609,66,94,18,2022,8,9,14,15,27
10.002802,55,18,1,2022,8,9,14,15,28
0.056459,66,2,18,2022,8,9,14,15,28
10.012552,55,18,1,2022,8,9,14,15,38
0.058699,66,2,18,2022,8,9,14,15,39
0,153,18,26,2022,8,9,14,15,39
0.058817,223,26,18,2022,8,9,14,15,39
0.046047,54,18,26,2022,8,9,14,15,39
0,75,82,76,2022,8,9,14,15,39
0,75,82,68,2022,8,9,14,15,39
0.048918,86,72,83,2022,8,9,14,15,39
0.047784,86,64,83,2022,8,9,14,15,39
0,75,82,41,2022,8,9,14,15,42
0.014879,86,37,83,2022,8,9,14,15,42
0,42,121,119,2022,8,9,14,15,44
0,42,118,133,2022,8,9,14,15,44
10.00738,55,18,1,2022,8,9,14,15,49
0.057061,66,2,18,2022,8,9,14,15,49
0,75,82,71,2022,8,9,14,15,55
0.050954,86,67,83,2022,8,9,14,15,55
10.007651,55,18,1,2022,8,9,14,15,59
0.055533,66,2,18,2022,8,9,14,15,59
35.004025,74,53,83,2022,8,9,14,16,0
45.013376,55,18,117,2022,8,9,14,16,1
0.017845,66,116,18,2022,8,9,14,16,1
45.010606,75,82,69,2022,8,9,14,16,1
0.049736,86,65,83,2022,8,9,14,16,1
0,86,119,83,2022,8,9,14,16,6
0,86,82,120,2022,8,9,14,16,6
45.007037,75,82,63,2022,8,9,14,16,6
0.051292,86,59,83,2022,8,9,14,16,6
45.002789,75,82,64,2022,8,9,14,16,7
0.04989,86,60,83,2022,8,9,14,16,7
10.011733,55,18,1,2022,8,9,14,16,9
0.055502,66,2,18,2022,8,9,14,16,9
45.007232,75,82,54,2022,8,9,14,16,11
0.017007,86,50,83,2022,8,9,14,16,11
45.014717,75,82,53,2022,8,9,14,16,11
0.011928,86,49,83,2022,8,9,14,16,11
45.009832,55,18,95,2022,8,9,14,16,12
